CustomerID,CustomerName,RegistrationDate,OrderCount
----------,------------,----------------,----------
29485,Catherine Abel,2014-09-12 11:15:07.263,4
29486,Kim Abercrombie,2014-09-12 11:15:07.263,12
29487,Humberto Acevedo,2014-09-12 11:15:07.263,11
29484,Gustavo Achong,2014-09-12 11:15:07.263,7
29488,Pilar Ackerman,2014-09-12 11:15:07.263,4
28866,Aaron Adams,2014-09-12 11:15:07.263,1
13323,Adam Adams,2014-09-12 11:15:07.263,1
21139,Alex Adams,2014-09-12 11:15:07.263,1
29170,Alexandra Adams,2014-09-12 11:15:07.263,1
19419,Allison Adams,2014-09-12 11:15:07.263,2
11971,Amanda Adams,2014-09-12 11:15:07.263,2
26746,Amber Adams,2014-09-12 11:15:07.263,2
16845,Andrea Adams,2014-09-12 11:15:07.263,1
18504,Angel Adams,2014-09-12 11:15:07.263,1
13280,Bailey Adams,2014-09-12 11:15:07.263,2
28678,Ben Adams,2014-09-12 11:15:07.263,2
18646,Blake Adams,2014-09-12 11:15:07.263,1
29491,Carla Adams,2014-09-12 11:15:07.263,4
19822,Carlos Adams,2014-09-12 11:15:07.263,1
26598,Charles Adams,2014-09-12 11:15:07.263,1
19410,Chloe Adams,2014-09-12 11:15:07.263,1
21423,Connor Adams,2014-09-12 11:15:07.263,2
18075,Courtney Adams,2014-09-12 11:15:07.263,1
27849,Dalton Adams,2014-09-12 11:15:07.263,1
21871,Devin Adams,2014-09-12 11:15:07.263,1
25292,Eduardo Adams,2014-09-12 11:15:07.263,1
17163,Edward Adams,2014-09-12 11:15:07.263,1
13214,Elijah Adams,2014-09-12 11:15:07.263,2
24777,Eric Adams,2014-09-12 11:15:07.263,1
18814,Evan Adams,2014-09-12 11:15:07.263,1
20374,Fernando Adams,2014-09-12 11:15:07.263,1
29489,Frances Adams,2014-09-12 11:15:07.263,12
19527,Gabriel Adams,2014-09-12 11:15:07.263,1
24758,Gabriella Adams,2014-09-12 11:15:07.263,1
11172,Gabrielle Adams,2014-09-12 11:15:07.263,2
12154,Hailey Adams,2014-09-12 11:15:07.263,2
24786,Haley Adams,2014-09-12 11:15:07.263,1
18987,Hunter Adams,2014-09-12 11:15:07.263,1
29422,Ian Adams,2014-09-12 11:15:07.263,1
26174,Isaac Adams,2014-09-12 11:15:07.263,1
15715,Isabella Adams,2014-09-12 11:15:07.263,2
28360,Isaiah Adams,2014-09-12 11:15:07.263,1
22191,Jack Adams,2014-09-12 11:15:07.263,1
17449,Jackson Adams,2014-09-12 11:15:07.263,1
24979,Jada Adams,2014-09-12 11:15:07.263,1
12889,James Adams,2014-09-12 11:15:07.263,1
17488,Jason Adams,2014-09-12 11:15:07.263,1
29492,Jay Adams,2014-09-12 11:15:07.263,6
27311,Jenna Adams,2014-09-12 11:15:07.263,1
15362,Jennifer Adams,2014-09-12 11:15:07.263,2
29030,Jeremy Adams,2014-09-12 11:15:07.263,1
17172,Jesse Adams,2014-09-12 11:15:07.263,1
28247,Jonathan Adams,2014-09-12 11:15:07.263,2
16377,Jordan Adams,2014-09-12 11:15:07.263,1
20387,Jordan Adams,2014-09-12 11:15:07.263,1
15477,Jose Adams,2014-09-12 11:15:07.263,1
26073,Julia Adams,2014-09-12 11:15:07.263,1
11869,Kaitlyn Adams,2014-09-12 11:15:07.263,5
16877,Katelyn Adams,2014-09-12 11:15:07.263,1
23518,Katherine Adams,2014-09-12 11:15:07.263,1
17548,Kaylee Adams,2014-09-12 11:15:07.263,1
14581,Kevin Adams,2014-09-12 11:15:07.263,2
18812,Kyle Adams,2014-09-12 11:15:07.263,2
14466,Logan Adams,2014-09-12 11:15:07.263,1
18559,Lucas Adams,2014-09-12 11:15:07.263,1
22517,Luis Adams,2014-09-12 11:15:07.263,1
13265,Luke Adams,2014-09-12 11:15:07.263,4
14640,Mackenzie Adams,2014-09-12 11:15:07.263,1
11931,Marcus Adams,2014-09-12 11:15:07.263,2
22734,Maria Adams,2014-09-12 11:15:07.263,1
12950,Mary Adams,2014-09-12 11:15:07.263,2
20528,Mason Adams,2014-09-12 11:15:07.263,1
11659,Miguel Adams,2014-09-12 11:15:07.263,5
12663,Morgan Adams,2014-09-12 11:15:07.263,1
11217,Natalie Adams,2014-09-12 11:15:07.263,2
17380,Nathan Adams,2014-09-12 11:15:07.263,1
16977,Noah Adams,2014-09-12 11:15:07.263,1
17644,Rebecca Adams,2014-09-12 11:15:07.263,2
22104,Richard Adams,2014-09-12 11:15:07.263,1
12901,Robert Adams,2014-09-12 11:15:07.263,2
18905,Samuel Adams,2014-09-12 11:15:07.263,1
16986,Sara Adams,2014-09-12 11:15:07.263,1
23536,Savannah Adams,2014-09-12 11:15:07.263,1
16293,Sean Adams,2014-09-12 11:15:07.263,1
16854,Seth Adams,2014-09-12 11:15:07.263,1
14042,Stephanie Adams,2014-09-12 11:15:07.263,1
27367,Sydney Adams,2014-09-12 11:15:07.263,1
29285,Thomas Adams,2014-09-12 11:15:07.263,1
14890,Wyatt Adams,2014-09-12 11:15:07.263,1
22133,Xavier Adams,2014-09-12 11:15:07.263,1
29493,Ronald Adina,2014-09-12 11:15:07.263,4
18083,Osarumwense Agbonile,2014-09-12 11:15:07.263,1
29494,Samuel Agcaoili,2014-09-12 11:15:07.263,9
29495,James Aguilar,2014-09-12 11:15:07.263,3
29496,Robert Ahlering,2014-09-12 11:15:07.263,4
29498,Kim Akers,2014-09-12 11:15:07.263,8
28740,Alisha Alan,2014-09-12 11:15:07.263,2
27366,Bob Alan,2014-09-12 11:15:07.263,2
