CustomerID,CustomerName,OrderCount
----------,------------,----------
11091,Dalton Perez,28
11176,Mason Roberts,28
11223,Hailey Patterson,27
11262,Jennifer Simmons,27
11330,Ryan Thompson,27
11300,Fernando Barnes,27
11276,Nancy Chapman,27
11711,Daniel Davis,27
11287,Henry Garcia,27
11200,Jason Griffin,27
11185,Ashley Henderson,27
11277,Charles Jackson,27
11331,Samantha Jenkins,27
11566,April Shan,25
11211,Samantha Russell,17
11142,Eduardo Patterson,17
11215,Ana Perry,17
11019,Luke Lal,17
11078,Gina Martin,17
11203,Luis Diaz,17
11212,Chloe Campbell,17
11631,Antonio Bennett,16
11506,Nicholas Brown,16
11501,Brandy Chandra,16
11530,Andrew Martinez,16
11632,Alexandra Jenkins,16
11253,José Hernandez,16
11502,Jared Peterson,16
11505,Jasmine Powell,16
11520,Jada Morgan,16
11519,Jerome Navarro,16
11507,Isabella Russell,16
11500,Sarah Simmons,16
11498,Arturo Sun,16
11619,Sierra Young,16
30067,Phyllis Thomas,12
30076,Diane Tibbott,12
30095,Sunil Uppal,12
30107,Margaret Vanderkamp,12
30117,Robert Vessa,12
29834,Cheryl Herring,12
29844,Nancy Hirota,12
29846,Douglas Hite,12
29865,Lucio Iallo,12
29825,James Hendergart,12
29827,Valerie Hendricks,12
29818,Roger Harui,12
29803,Hattie Haemon,12
29810,Jean Handley,12
29811,Mark Hanson,12
29992,Sandra Maynard,12
29994,Robin McGuigan,12
29963,Spencer Low,12
29966,Richard Lum,12
29950,Yale Li,12
29955,David Liu,12
29880,Samuel Johnson,12
29521,Tom Johnston,12
29888,Brannon Jones,12
29901,John Kelly,12
29897,Kay Krane,12
29651,Lee Chapla,12
29675,Aaron Con,12
29714,Rudolph Dillon,12
29715,Andrew Dixon,12
29716,Blaine Dockter,12
29690,Conor Cunningham,12
29685,Pamela Cox,12
29698,Jacob Dean,12
29705,Della Demott Jr,12
29702,Aidan Delaney,12
29761,Susan French,12
29789,Brian Goldstein,12
29721,Gary Drury,12
29722,Reuben D'sa,12
29724,Bernard Duerr,12
29734,Jauna Elson,12
29731,Carla Eldridge,12
29497,François Ferrier,12
29757,Garth Fort,12
29592,Kevin Browne,12
29570,Michael Blythe,12
29571,Gabriel Bockenkamp,12
29577,Lester Bowman,12
29580,Richard Bready,12
29617,Lindsey Camacho,12
29938,Frank Campbell,12
29614,Ryan Calafato,12
29620,Joan Campbell,12
29637,Donna Carreras,12
29639,Joseph Castellucio,12
29646,Stacey Cereghino,12
29533,Douglas Baldwin,12
29539,Josh Barnhill,12
29522,Thomas Armstrong,12
29523,John Arthur,12
29486,Kim Abercrombie,12
29489,Frances Adams,12
29509,Michael Allen,12
29487,Humberto Acevedo,11
29511,Oscar Alpuerto,11
29531,Cory Booth,11
29669,Jeanette Cole,11
29945,Gloria Lesko,11
29968,Helen Lutes,11
30011,Eric Meyer,11
30022,Dylan Miller,11
29982,Melissa Marple,11
30042,Ruby Sue Styles,11
29961,John Long,10
29830,Kari Hensien,10
29842,Mike Hines,10
29606,Karren Burkhardt,10
29588,Willie Brooks,10
29622,Henry Campen,10
29569,Linda Burnett,10
29508,Marvin Allen,10
29494,Samuel Agcaoili,9
29642,Elizabeth Catalano,9
29581,Sara Breer,9
29558,John Berger,9
29747,Carolyn Farino,9
29824,Brenda Heaney,9
29958,Run Liu,9
29892,Sandra Kitt,9
29915,Andrew Kobylinski,9
30096,Mary Vaca,9
30094,Sairaj Uddin,8
30084,Abe Tramel,8
30085,Doris Traube,8
30091,Lynn Tsoflias,8
